Depth_m,GR,CALI,Vsh,PHIT,PHIE,NPHI,RHOB,RT,Vp,Vs,VpVs,PoissonRatio,AI,Sw,So,Sg,Zone,Overpressure_Flag,Bad_Hole_Flag,Pay_Flag
600.0,51.03641777921592,8.56061753674454,0.31365283179373776,0.3763075466167936,0.3408985683302802,0.36443374009360163,1.979938818656537,2.9077766122165944,2035.6332598659271,718.5668099995113,2.832907436773084,0.4288293160057044,4030.429311756899,0.7666442551550766,0.0,0.23335574484492339,Zona Dangkal (TSZ),0,0,0
601.0,49.114506334302355,8.51736498994303,0.28960405983083687,0.36688758538817523,0.3350119451191907,0.3799524226776092,2.0148256510882603,2.3690140639113166,2246.2953777521802,896.2377039428325,2.5063611672104598,0.40533613218684283,4525.893547016086,0.8363581352834191,0.0,0.16364186471658093,Zona Dangkal (TSZ),0,0,0
602.0,45.76312694839201,8.4391912648215,0.2653106851057023,0.3558168094129694,0.32749620896972537,0.3960922471656878,2.0515882956570386,1.9756587012075686,2556.209125089747,1154.6889565453134,2.213764244128227,0.37181959183293795,5244.2887222858435,0.9173512263539683,0.0,0.08264877364603174,Zona Dangkal (TSZ),0,0,0
603.0,43.56739825006391,8.371710964564688,0.24761266664777526,0.34966905293618156,0.3236943069436626,0.41922647463818524,2.0868666507288083,1.7157027158551377,2914.294230025708,1450.7006958901602,2.0088873178884614,0.3352894498803771,6081.743439052041,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
604.0,41.27015096540856,8.382385941053423,0.2241888286196472,0.34952049696815435,0.3260129197300001,0.4237442147841857,2.098934728062183,1.8520877137331861,2934.8373962258993,1470.927146688658,1.9952296093200719,0.3322677411342752,6160.032132154132,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
605.0,40.39234736976633,8.470370415155873,0.20545825549602553,0.3551528626582462,0.33326213637939134,0.42528655671092,2.100283725555921,1.9331419440204403,2910.085570247049,1453.4622538090962,2.0021748501693613,0.3338154972081409,6112.005363164998,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
606.0,43.746872972584484,8.556803449817847,0.22705130310178326,0.36802992883447866,0.34296142635778115,0.44146068844916214,2.081609143902,1.69979965770849,2839.1808629793586,1392.3423055067453,2.0391399814186024,0.34167654977736245,5910.064845569404,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
607.0,49.96945793081165,8.57291590547725,0.2934767905202403,0.386701375070617,0.35265501153697054,0.4692924178008288,2.044947883207672,1.460549016533798,2741.3303517407708,1301.9529133314907,2.1055526076792916,0.3543697146406506,5605.877699965232,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
608.0,55.88850580899745,8.519605397484316,0.37746042935464436,0.4,0.3547047484774427,0.4858890040288666,2.0146309527034973,1.398260532564166,2643.7648705008355,1208.1886243482586,2.1882053987447363,0.36801268621318817,5326.2105397811365,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
609.0,58.012131890298576,8.467907534144816,0.44811679138240706,0.4,0.34622598503411117,0.4971627780415646,2.0116696001246477,1.4138113945651118,2603.4252921990674,1163.2140669867645,2.238130853199775,0.37528776462994295,5237.231516512492,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
610.0,58.261615865730306,8.474776619731518,0.4843991121717777,0.4,0.3418721065393867,0.5123415770705096,2.017232353605992,1.3083662655668553,2615.8988055638342,1167.6065856459284,2.240394014321785,0.37560225115701135,5276.875704342637,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
611.0,64.40064964727331,8.504568113684527,0.5418522066627014,0.4,0.33497773520047586,0.5238999996192123,2.0198501549411847,1.0933016655912124,2627.9856010726776,1168.2659541841235,2.2494754654628037,0.3768515331875518,5308.13712350985,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
612.0,81.19578223144408,8.492121500067514,0.6539027199366921,0.4,0.321531673607597,0.5404745858729648,2.0212813011454367,0.9902258439853877,2589.8032692689635,1117.790374301055,2.3168953041739564,0.38553123643826814,5234.720921818676,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
613.0,95.31867063925718,8.429960829807218,0.7351031512735913,0.4,0.31178762184716907,0.553228543349246,2.0286431885641605,1.0204011131998278,2540.905012936977,1062.9290169604915,2.3904747846689194,0.3939412833046149,5154.589647283128,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
614.0,95.61432581290818,8.346086125182731,0.7410035599654757,0.4,0.31107957280414295,0.5531359782210469,2.02955918955528,1.0922435772361783,2536.676975990732,1058.3529905895703,2.3968156168554318,0.3946198168839488,5148.336067555288,1.0,0.0,0.0,Zona Dangkal (TSZ),0,0,0
